run;base de treinamento;passos de treinamento;numero da iteracao;treinamento - condiÃ§Ã£o de parada;quantidade de episÃ³dios terminais treino;recompensas treino;valor inicial treino;valor final treino;lucro/prejuÃ­zo treino;base de teste;quantidade de dias;numero da iteracao teste;quantidade de episÃ³dios teste;recompensas teste;valor inicial teste;valor final teste;lucro/prejuÃ­zo teste;quantidade de passos teste;;;
22;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;22;0.8;0;1688107071;10000;9398.2995;-601.7005;consolidado_teste (02.05 a 13.05).csv;7;22;0;28360000;10000;10000;0;2836;;;
23;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;23;0.8;0;1663341891;10000;9557.7594;-442.2406;consolidado_teste (02.05 a 13.05).csv;7;23;0;28383367.1;10000;9836.045;-163.955;2836;;;
24;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;24;0.8;0;1710895821;10000;9911.7145;-88.2855;consolidado_teste (02.05 a 13.05).csv;7;24;0;28390711.55;10000;9838.635;-161.365;2836;;;
25;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;25;0.8;0;1859837465;10000;11194.0188;1194.0188;consolidado_teste (02.05 a 13.05).csv;7;25;0;28390386.4;10000;9831;-169;2836;;;
26;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;26;0.8;0;1657148370;10000;9766.4741;-233.5259;consolidado_teste (02.05 a 13.05).csv;7;26;0;28360000;10000;10000;0;2836;;;
27;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;27;0.8;0;1825901418;10000;10347.6341;347.6341;consolidado_teste (02.05 a 13.05).csv;7;27;0;28396940.29;10000;10010.11;10.11;2836;;;
28;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;28;0.8;0;1772021970;10000;10867.1225;867.1225;consolidado_teste (02.05 a 13.05).csv;7;28;0;28390587.05;10000;9838.645;-161.355;2836;;;
29;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;29;0.8;0;1730101910;10000;8743.6506;-1256.3494;consolidado_teste (02.05 a 13.05).csv;7;29;0;28360000;10000;10000;0;2836;;;
30;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;30;0.8;0;1537848985;10000;9652.5152;-347.4848;consolidado_teste (02.05 a 13.05).csv;7;30;0;28360000;10000;10000;0;2836;;;
31;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;31;0.8;0;1639669787;10000;10290.6407;290.6407;consolidado_teste (02.05 a 13.05).csv;7;31;0;28363394.95;10000;10000.705;0.705;2836;;;
